Date,Item,Qty,Amount
2023-01-19,Volt Meter,1,150.0
2023-01-19,Brake Rod,1,50.0
2023-01-19,Engine Sprocket Lock,1,10.0
2023-01-19,High Temp. Grease,4,200.0
2023-01-19,Pito Curve,3,150.0
2023-01-19,Motul 800 m2,4,1260.0
2023-01-19,Expander Bracket Motowolf,2,160.0
2023-01-19,Chamos,1,70.0
2023-01-19,Seat Cover,3,300.0
2023-01-19,3-Way Switch,3,570.0
2023-01-20,Helmet Hook,1,100.0
2023-01-20,Stainless Bolt,25,500.0
2023-01-20,Socket Relay,2,140.0
2023-01-20,Castrol Oil,5,1400.0
2023-01-20,Engine Sprocket Lock,1,10.0
2023-01-21,Spark Plug,4,800.0
2023-01-21,Zic Gear Oil 100ml,2,160.0
2023-01-21,Chain Lube,3,450.0
2023-01-21,Horn,2,200.0
2023-01-22,Bolt Cap,5,500.0
2023-01-22,Bearing,2,220.0
2023-01-22,Electrical Tape,1,20.0
2023-01-22,Osram Peanut Bulb,1,30.0
2023-01-22,Handgrip Domino Red,3,600.0
2023-01-22,Peanut Bulb,3,60.0
2023-01-22,Carb Cleaner,3,450.0
2023-01-23,Brake Master Caliper,1,850.0
2023-01-23,Volt Meter,1,150.0
2023-01-23,Clutch Cable,1,130.0
2023-01-23,Battery 4L,1,750.0
2023-01-23,Silver Bolt,15,750.0
2023-01-23,Gear Oil,1,80.0
2023-01-23,Socket Relay,3,210.0
2023-01-23,Expander Bracket Motowolf,1,80.0
2023-01-23,Zic Gear Oil 100ml,2,160.0
2023-01-23,Tire 90 x 90-17,1,1050.0
2023-01-24,Fork Oil,1,50.0
2023-01-24,Handgrip Domino Red,1,200.0
2023-01-24,Tire 80x80x14,3,2400.0
2023-01-24,Motol,4,600.0
2023-01-24,Spark Plug Housing Cap,2,60.0
2023-01-24,Throttle Assist,1,35.0
2023-01-24,Battery 4L,1,750.0
2023-01-24,Regulator,1,300.0
2023-01-24,Helmet Rope,1,45.0
2023-01-24,Bolt,8,80.0
2023-01-24,Tire Sealant,1,100.0
2023-01-25,Honda Oil,1,300.0
2023-01-25,Motol,3,450.0
2023-01-25,Socket Relay,1,70.0
2023-01-25,Headlight Bulb,1,50.0
2023-01-25,Tire 90 x 90-17,2,2100.0
2023-01-25,Seat Cover,1,100.0
2023-01-25,Flasher Relay,1,50.0
2023-01-26,Fuel Hose,1,30.0
2023-01-26,Spray Paint,2,40.0
2023-01-26,Spark Plug Cap,1,30.0
2023-01-26,Tire 90 x 90-17,1,1050.0
2023-01-26,Spark Plug Housing Cap,1,30.0
2023-01-27,Throttle Assist,1,35.0
2023-01-27,Bolt Cap,7,700.0
2023-01-27,Battery 5L,2,1680.0
2023-01-27,Motorcycle Cover Universal,1,187.0
2023-01-27,Engine Sprocket Lock,1,10.0
2023-01-27,Quick Tire,1,1780.0
2023-01-27,Bolt,24,240.0
2023-01-27,Castrol Oil,1,280.0
2023-01-27,Bolt Cap Gold,7,700.0
2023-01-27,Gear Oil,4,320.0
2023-01-27,Tail Light Bulb,1,50.0
2023-01-27,Interior Leo,1,150.0
2023-01-27,Bearing,4,440.0
2023-01-27,Helmet Freshener,3,600.0
2023-01-27,Engine Sprocket Lock,1,10.0
2023-01-27,Peanut Bulb,1,20.0
2023-01-27,Spark Plug Housing Cap,1,30.0
2023-01-27,Switch,3,600.0
2023-01-28,Battery 7,1,450.0
2023-01-28,Throttle Assist,4,140.0
2023-01-28,Phone Holder Motowolf,1,135.0
2023-01-28,Side Mirror Carbon,1,250.0
2023-01-28,Motol,4,600.0
2023-01-28,Chain Lock,1,10.0
2023-01-28,Tire 80x80x14,1,800.0
2023-01-28,Headlight Bulb,1,50.0
2023-01-28,Volt Meter,1,150.0
2023-01-29,Unerseat Organinzer,1,130.0
2023-01-29,Handgrip Domino Red,2,400.0
2023-01-29,Blind Spot Mirror,3,60.0
2023-01-29,Relay,3,450.0
2023-01-29,Fuel Hose,4,120.0
2023-01-29,Havoline,4,1000.0
2023-01-29,Foot Rest,1,250.0
2023-01-29,Motul 800 m2,1,315.0
2023-01-29,Spark Plug Housing Cap,1,30.0
2023-01-29,Brake Cable,1,120.0
2023-01-29,VS1 Big,2,400.0
2023-01-29,Bolt Cap,9,900.0
2023-01-29,Flasher Relay,1,50.0
2023-01-29,Spark Plug Cap,1,30.0
2023-01-30,Helmet Freshener,2,400.0
2023-01-30,Pito Curve,1,50.0
2023-01-30,Zic Gear Oil 100ml,1,80.0
2023-01-30,Fuel Hose,1,30.0
2023-01-30,Throttle Pipe,1,20.0
2023-01-30,Motol,3,450.0
2023-01-30,Castrol Oil,4,1120.0
2023-01-30,Bolt,6,60.0
2023-01-30,Spray Paint,1,20.0
2023-01-30,Fuel Hose,4,120.0
2023-01-30,Chain Lock,3,30.0
2023-01-30,Unerseat Organinzer,3,390.0
2023-01-30,Bearing,1,110.0
2023-01-30,Clutch Cable,1,130.0
2023-01-31,Body Bolt Set,7,175.0
2023-01-31,Tire 275 x 17,1,800.0
2023-01-31,Brake Rod,1,50.0
2023-01-31,Chain Lube,4,600.0
2023-01-31,Battery 4L,1,750.0
2023-01-31,Chain Lock,4,40.0
2023-01-31,VS1 Small,1,150.0
2023-02-01,Tire 90 x 90-17,1,1050.0
2023-02-01,Quick Tire,1,1780.0
2023-02-01,Bolt,8,80.0
2023-02-01,Gold Bolt,8,400.0
2023-02-01,Gear Oil,3,240.0
2023-02-02,Coolant,4,600.0
2023-02-02,Throttle Cable,1,200.0
2023-02-02,Blind Spot Mirror,2,40.0
2023-02-02,Quick Tire,3,5340.0
2023-02-02,Blind Spot Mirror,1,20.0
2023-02-03,Tire 275 x 17,1,800.0
2023-02-03,Signal Light,1,95.0
2023-02-03,Bolt,14,140.0
2023-02-03,Chain Lube,3,450.0
2023-02-03,Brake Rod,1,50.0
2023-02-03,Seat Cover,2,200.0
2023-02-03,3-Way Switch,2,380.0
2023-02-03,Side Mirror Carbon,3,750.0
2023-02-04,High Temp. Grease,2,100.0
2023-02-04,Throttle Pipe,1,20.0
2023-02-04,Mirror Ext.,1,15.0
2023-02-04,Seat Cover,4,400.0
2023-02-04,Spark Plug Cap,1,30.0
2023-02-04,Seat Cover,1,100.0
2023-02-04,Volt Meter,2,300.0
2023-02-04,Petron Oil,2,380.0
2023-02-04,Plate Badge,1,95.0
2023-02-04,E Bolt,7,5250.0
2023-02-05,Fuel Hose,3,90.0
2023-02-05,Tire 275 x 17,4,3200.0
2023-02-05,Chain Adjuster,2,100.0
2023-02-05,Helmet Rope,3,135.0
2023-02-05,Motul 800 m2,3,945.0
2023-02-05,3-Way Switch,1,190.0
2023-02-05,Zic Gear Oil 100ml,3,240.0
2023-02-05,Chain Lube,3,450.0
2023-02-05,Domino Switch,4,800.0
2023-02-06,Horn,3,300.0
2023-02-06,Chain Standard,2,600.0
2023-02-06,Regulator,3,900.0
2023-02-06,Zic Gear Oil 100ml,5,400.0
2023-02-06,Switch,3,600.0
2023-02-06,Clutch Cable,1,130.0
2023-02-07,Coolant,1,150.0
2023-02-07,Throttle Pipe,1,20.0
2023-02-07,Osram Peanut Bulb,1,30.0
2023-02-08,Osram Peanut Bulb,3,90.0
2023-02-08,Chain Lube,2,300.0
2023-02-08,Chain Lube,1,150.0
2023-02-08,Stainless Bolt,8,160.0
2023-02-08,Tire 275 x 17,2,1600.0
2023-02-08,Honda Oil,2,600.0
2023-02-08,Bolt,6,60.0
2023-02-09,Socket Relay,1,70.0
2023-02-09,Tail Light Bulb,1,50.0
2023-02-09,On/Off Switch,1,30.0
2023-02-10,Horn,3,300.0
2023-02-10,Bolt Cap Gold,6,600.0
2023-02-10,Side Mirror Carbon,1,250.0
2023-02-10,Domino Handgrip,1,250.0
2023-02-10,Brake Master Caliper,1,850.0
2023-02-11,Socket Relay,3,210.0
2023-02-11,Bolt Cap,8,800.0
2023-02-11,E Bolt,8,6000.0
2023-02-11,Helmet Hook,1,100.0
2023-02-11,Fuse Holder/Box,3,150.0
2023-02-12,Helmet Freshener,2,400.0
2023-02-12,Battery 7,1,450.0
2023-02-12,Seat Cover,4,400.0
2023-02-12,Brake Master Caliper,1,850.0
2023-02-12,Tail Light,2,60.0
2023-02-12,Bolt Cap,7,700.0
2023-02-12,On/Off Switch,3,90.0
2023-02-12,Coolant,3,450.0
2023-02-12,Zic Gear Oil 100ml,1,80.0
2023-02-12,Fuel Hose,3,90.0
2023-02-13,Fork Oil,4,200.0
2023-02-13,Axel Cap,2,240.0
2023-02-13,Shell Advance,3,990.0
2023-02-13,Plate Badge,1,95.0
2023-02-13,Unerseat Organinzer,3,390.0
2023-02-13,Osram Peanut Bulb,1,30.0
2023-02-13,Tire 90 x 90-17,1,1050.0
2023-02-13,Shell Advance,3,990.0
2023-02-14,Regulator,4,1200.0
2023-02-14,Motorcycle Cover Universal,2,374.0
2023-02-14,Zic Gear Oil 100ml,3,240.0
2023-02-15,Headlight Bulb,1,50.0
2023-02-15,Axel Cap,1,120.0
2023-02-15,Helmet Rope,2,90.0
2023-02-15,Motol,2,300.0
2023-02-15,Brake Shoes,1,350.0
2023-02-15,Quick Tire,1,1780.0
2023-02-15,Battery 5L,1,840.0
2023-02-16,Throttle Pipe,1,20.0
2023-02-16,High Temp. Grease,2,100.0
2023-02-16,Throttle Assist Carbon,2,180.0
2023-02-16,Brake Master Caliper,1,850.0
2023-02-16,Quick Tire,5,8900.0
2023-02-17,Tire 275 x 17,1,800.0
2023-02-17,Flasher Relay,4,200.0
2023-02-17,VS1 Big,1,200.0
2023-02-17,Throttle Assist,3,105.0
2023-02-17,Chain Adjuster,3,150.0
2023-02-17,Seat Cover,2,200.0
2023-02-17,Brake Rod,1,50.0
2023-02-17,Stainless Bolt,5,100.0
2023-02-18,Side Mirror Carbon,1,250.0
2023-02-18,Side Mirror Carbon,1,250.0
2023-02-18,Throttle Assist,1,35.0
2023-02-18,Bolt Cap Gold,11,1100.0
2023-02-18,Fuse Holder/Box,1,50.0
2023-02-18,Stainless Bolt,7,140.0
2023-02-18,Coolant,3,450.0
2023-02-19,Sticker,1,35.0
2023-02-19,Bearing,3,330.0
2023-02-19,Zic Oil,2,580.0
2023-02-19,Castrol Oil,2,560.0
2023-02-19,Side Mirror Carbon,3,750.0
2023-02-19,Petron Oil,5,950.0
2023-02-19,Repsol Oil,1,350.0
2023-02-19,Honda Oil,2,600.0
2023-02-19,Body Bolt Set,13,325.0
2023-02-20,Tire 90 x 90-17,1,1050.0
2023-02-20,Battery 5L,2,1680.0
2023-02-20,Spark Plug,1,200.0
2023-02-20,Unerseat Organinzer,4,520.0
2023-02-20,Honda Oil,1,300.0
2023-02-20,Mini Driving Light,1,800.0
2023-02-21,Brake Rod,1,50.0
2023-02-21,Unerseat Organinzer,1,130.0
2023-02-21,E Bolt,8,6000.0
2023-02-22,Castrol Oil,4,1120.0
2023-02-22,Brake Rod,1,50.0
2023-02-23,Mirror Ext.,1,15.0
2023-02-23,Mini Driving Light,2,1600.0
2023-02-23,Baby Bolt Set,6,60.0
2023-02-23,Axel Cap,1,120.0
2023-02-24,Bolt Cap,22,2200.0
2023-02-24,Brake Master Caliper,1,850.0
2023-02-24,Spark Plug Housing Cap,1,30.0
2023-02-24,Repsol Oil,3,1050.0
2023-02-24,Castrol Oil,4,1120.0
2023-02-24,Expander Bracket Motowolf,1,80.0
2023-02-25,Osram Peanut Bulb,4,120.0
2023-02-25,Horn,1,100.0
2023-02-25,Gold Bolt,16,800.0
2023-02-25,Osram Peanut Bulb,1,30.0
2023-02-25,Throttle Assist,3,105.0
2023-02-25,Bolt,17,170.0
2023-02-25,Fork Oil,5,250.0
2023-02-25,Unerseat Organinzer,1,130.0
2023-02-25,Tail Light Bulb,1,50.0
2023-02-25,Gear Oil,1,80.0
2023-02-26,Osram Peanut Bulb,2,60.0
2023-02-26,Engine Sprocket Lock,1,10.0
2023-02-26,Bearing,2,220.0
2023-02-26,Expander Bracket Motowolf,1,80.0
2023-02-26,Socket Relay,1,70.0
2023-02-26,Spark Plug,1,200.0
2023-02-26,Shell Advance,1,330.0
2023-02-26,Tire Sealant,5,500.0
2023-02-26,Tire 80x80x14,1,800.0
2023-02-27,Stainless Bolt,15,300.0
2023-02-27,Electrical Tape,1,20.0
2023-02-27,Tire 90 x 90-17,1,1050.0
2023-02-27,Headlight Bulb,2,100.0
2023-02-27,Seat Cover,1,100.0
2023-02-27,Unerseat Organinzer,3,390.0
2023-02-27,Mat 12 mm,3,30.0
2023-02-27,Fuel Hose,3,90.0
2023-02-27,Horn,1,100.0
2023-02-28,Chain Lube,2,300.0
2023-02-28,Tire 90 x 90-17,1,1050.0
2023-02-28,Havoline,1,250.0
2023-02-28,Chain Lube,1,150.0
2023-02-28,Fuse Holder/Box,4,200.0
2023-02-28,Repsol Oil,4,1400.0
2023-02-28,Spray Paint,3,60.0
2023-02-28,Honda Oil,2,600.0
2023-02-28,Zic Gear Oil 100ml,5,400.0
2023-02-28,Plate Badge,3,285.0
2023-02-28,Seat Cover,1,100.0
2023-02-28,Bearing,1,110.0
2023-03-01,Handgrip Domino Red,2,400.0
2023-03-01,Helmet Freshener,2,400.0
2023-03-01,Battery 5L,1,840.0
2023-03-01,Headlight Bulb,3,150.0
2023-03-02,Tire 80x80x14,5,4000.0
2023-03-02,VS1 Big,4,800.0
2023-03-02,Fuel Hose,1,30.0
2023-03-02,Bolt Cap,12,1200.0
2023-03-02,Silver Bolt,11,550.0
2023-03-02,Fuse Holder/Box,3,150.0
2023-03-02,Headlight Bulb,1,50.0
2023-03-03,Motorcycle Cover Universal,2,374.0
2023-03-03,Fuel Hose,1,30.0
2023-03-03,Domino Switch,2,400.0
2023-03-03,Bolt,20,200.0
2023-03-03,Bearing,3,330.0
2023-03-03,Bolt Cap,13,1300.0
2023-03-04,Battery 7,1,450.0
2023-03-04,Battery 7,1,450.0
2023-03-04,Osram Peanut Bulb,4,120.0
2023-03-04,Headlight Bulb,3,150.0
2023-03-04,Fuel Hose,3,90.0
2023-03-04,Regulator,1,300.0
2023-03-04,Seat Cover,3,300.0
2023-03-04,Motorcycle Cover Universal,1,187.0
2023-03-05,Volt Meter,1,150.0
2023-03-05,On/Off Switch,1,30.0
2023-03-05,Quick Tire,1,1780.0
2023-03-05,Tire 275 x 17,1,800.0
2023-03-05,Headlight Bulb,2,100.0
2023-03-05,Tire 90 x 90-17,1,1050.0
2023-03-05,Electrical Tape,1,20.0
2023-03-05,Fork Oil,4,200.0
2023-03-05,Brake Master Caliper,3,2550.0
2023-03-06,Axel Cap,2,240.0
2023-03-06,Mat 12 mm,1,10.0
2023-03-07,Helmet Rope,1,45.0
2023-03-07,Fuel Hose,2,60.0
2023-03-07,Interior Series,4,640.0
2023-03-07,Fuel Hose,4,120.0
2023-03-07,Shell Advance,4,1320.0
2023-03-08,E Bolt,22,16500.0
2023-03-08,Bearing,2,220.0
2023-03-08,Tire 90 x 90-17,3,3150.0
2023-03-08,Havoline,1,250.0
2023-03-08,Quick Tire,4,7120.0
2023-03-08,Battery 5L,1,840.0
2023-03-09,Motul 800 m2,4,1260.0
2023-03-09,Tire Sealant,1,100.0
2023-03-09,Volt Meter,1,150.0
2023-03-09,Motol,2,300.0
2023-03-09,Bolt Cap Gold,24,2400.0
2023-03-10,Shell Advance,1,330.0
2023-03-10,Zic Gear Oil 100ml,4,320.0
2023-03-10,Axel Cap,2,240.0
2023-03-10,Clutch Cable,3,390.0
2023-03-10,Unerseat Organinzer,4,520.0
2023-03-10,Clip Fleerings,1,5.0
2023-03-10,Spark Plug Cap,3,90.0
2023-03-10,Socket Relay,3,210.0
2023-03-10,Headlight Bulb,3,150.0
2023-03-11,Yamalube,2,500.0
2023-03-11,Quick Tire,1,1780.0
2023-03-11,Osram Peanut Bulb,3,90.0
2023-03-11,Shell Advance,1,330.0
2023-03-11,Chain Lube,2,300.0
2023-03-12,Unerseat Organinzer,2,260.0
2023-03-12,Magic Gatas,1,150.0
2023-03-12,VS1 Cleaner,3,840.0
2023-03-12,Mio Emblem,1,100.0
2023-03-12,Throttle Cable,1,200.0
2023-03-13,Engine Sprocket Lock,1,10.0
2023-03-13,Honda Oil,1,300.0
2023-03-13,Seat Cover,1,100.0
2023-03-13,Tail Light,1,30.0
2023-03-13,Seat Cover,3,300.0
2023-03-14,Tire 275 x 17,2,1600.0
2023-03-14,Throttle Assist,1,35.0
2023-03-14,Bolt Cap,13,1300.0
2023-03-14,Repsol Oil,1,350.0
2023-03-14,Knuckle Bearing,4,600.0
2023-03-14,Helmet Rope,3,135.0
2023-03-14,Handgrip Domino Red,1,200.0
2023-03-15,Knuckle Bearing,1,150.0
2023-03-15,Battery 4L,1,750.0
2023-03-15,Unerseat Organinzer,1,130.0
2023-03-15,Brake Rod,1,50.0
2023-03-15,Castrol Oil,2,560.0
2023-03-16,Switch,3,600.0
2023-03-16,Allen Bolt,8,80.0
2023-03-16,Chain Lock,3,30.0
2023-03-16,Foot Rest,1,250.0
2023-03-16,Regulator,1,300.0
2023-03-16,Bearing,3,330.0
2023-03-17,Engine Sprocket Lock,1,10.0
2023-03-17,Mat 12 mm,2,20.0
2023-03-17,Interior Leo,4,600.0
2023-03-17,Osram Peanut Bulb,2,60.0
2023-03-17,Engine Sprocket Screw,1,20.0
2023-03-17,Repsol Oil,3,1050.0
2023-03-17,Spray Paint,2,40.0
2023-03-17,Foot Rest,3,750.0
2023-03-18,On/Off Switch,3,90.0
2023-03-18,Spark Plug Housing Cap,1,30.0
2023-03-18,Motol,2,300.0
2023-03-18,Motol,1,150.0
2023-03-18,Seat Cover,1,100.0
2023-03-18,Carb Cleaner,2,300.0
2023-03-18,Fuse Holder/Box,1,50.0
2023-03-18,Seat Cover,1,100.0
2023-03-18,Castrol Oil,2,560.0
2023-03-18,Motol,3,450.0
2023-03-19,Battery 5L,3,2520.0
2023-03-19,Knuckle Bearing,3,450.0
2023-03-19,Brake Master Caliper,1,850.0
2023-03-19,Bolt Cap,5,500.0
2023-03-19,Bolt Cap,11,1100.0
2023-03-19,Brake Rod,1,50.0
2023-03-20,Battery OD,1,750.0
2023-03-20,Switch,1,200.0
2023-03-20,Volt Meter,1,150.0
2023-03-20,Seat Cover,2,200.0
2023-03-20,Fuel Hose,3,90.0
2023-03-21,Seat Cover,1,100.0
2023-03-21,Helmet Rope,1,45.0
2023-03-21,Blind Spot Mirror,3,60.0
2023-03-21,Quick Tire,2,3560.0
2023-03-21,Pito Curve,3,150.0
2023-03-21,Tail Light Bulb,1,50.0
2023-03-21,Fuel Hose,3,90.0
2023-03-22,Battery 4L,4,3000.0
2023-03-22,Unerseat Organinzer,3,390.0
2023-03-22,Coolant,1,150.0
2023-03-22,Tail Light Bulb,3,150.0
2023-03-23,Quick Tire,1,1780.0
2023-03-23,Castrol Oil,1,280.0
2023-03-23,Foot Rest,1,250.0
2023-03-23,Switch,1,200.0
2023-03-23,Tire 275 x 17,1,800.0
2023-03-24,Repsol Oil,2,700.0
2023-03-24,Brake Fluid,4,400.0
2023-03-24,Brake Shoes,1,350.0
2023-03-24,Fork Oil,1,50.0
2023-03-24,Motol,1,150.0
2023-03-24,Chain Lock,1,10.0
2023-03-25,Headlight Bulb,1,50.0
2023-03-25,Throttle Pipe,1,20.0
2023-03-25,Switch,3,600.0
2023-03-25,High Temp. Grease,1,50.0
2023-03-25,Horn,2,200.0
2023-03-25,Bearing,3,330.0
2023-03-25,Switch,1,200.0
2023-03-25,Battery OD,1,750.0
2023-03-25,VS1 Cleaner,2,560.0
2023-03-26,Fuel Hose,3,90.0
2023-03-26,Mirror Ext.,2,30.0
2023-03-26,Brake Master Caliper,1,850.0
2023-03-26,Motol,1,150.0
2023-03-26,Bearing,1,110.0
2023-03-26,Chain Lube,1,150.0
2023-03-27,Phone Holder Motowolf,4,540.0
2023-03-27,Unerseat Organinzer,3,390.0
2023-03-27,Socket Relay,3,210.0
2023-03-27,Seat Cover,1,100.0
2023-03-27,Battery 5L,1,840.0
2023-03-27,Castrol Oil,1,280.0
2023-03-27,Tail Light Bulb,1,50.0
2023-03-28,Tail Light Bulb,1,50.0
2023-03-28,Chamos,4,280.0
2023-03-28,Helmet Freshener,3,600.0
2023-03-28,Petron Oil,2,380.0
2023-03-28,Socket Relay,4,280.0
2023-03-29,Bolt Cap Gold,21,2100.0
2023-03-29,Brake Master Caliper,1,850.0
2023-03-30,Horn Switch,2,60.0
2023-03-30,Foot Rest,4,1000.0
2023-03-30,Fuel Hose,1,30.0
2023-03-30,Regulator,3,900.0
2023-03-31,Fuel Hose,2,60.0
2023-03-31,Brake Switch,1,60.0
2023-03-31,Body Bolt Set,7,175.0
2023-03-31,Honda Oil,3,900.0
2023-03-31,Unerseat Organinzer,2,260.0
2023-03-31,Repsol Oil,3,1050.0
2023-03-31,Throttle Pipe,3,60.0
2023-03-31,Shell Advance,1,330.0
2023-03-31,Honda Oil,1,300.0
2023-03-31,Pito Curve,3,150.0
2023-04-01,Tire 275 x 17,2,1600.0
2023-04-01,Side Mirror Carbon,1,250.0
2023-04-01,Petron Oil,2,380.0
2023-04-01,Expander Bracket Motowolf,2,160.0
2023-04-01,Motorcycle Cover Oxford,4,3960.0
2023-04-01,Phone Holder Universal,1,85.0
2023-04-01,Electrical Tape,1,20.0
2023-04-01,Unerseat Organinzer,4,520.0
2023-04-01,Tire Sealant,1,100.0
2023-04-01,Side Mirror Carbon,1,250.0
2023-04-02,Yamalube,1,250.0
2023-04-02,Tail Light Bulb,3,150.0
2023-04-02,Battery 5L,2,1680.0
2023-04-02,Side Mirror Carbon,3,750.0
2023-04-02,Unerseat Organinzer,1,130.0
2023-04-02,Brake Switch,1,60.0
2023-04-02,Stainless Bolt,20,400.0
2023-04-02,Fork Oil,3,150.0
2023-04-02,Tire 80x80x14,1,800.0
2023-04-02,Tire 90 x 90-17,1,1050.0
2023-04-02,Plate Badge,3,285.0
2023-04-02,Honda Oil,3,900.0
2023-04-02,Throttle Cable,1,200.0
2023-04-03,Unerseat Organinzer,3,390.0
2023-04-03,Bolt Cap Gold,14,1400.0
2023-04-03,Handgrip Domino Red,1,200.0
